river,country,province
Mara,EAK,Kenya
Nzoia,EAK,Kenya
Tana,EAK,Kenya
Jubba,ETH,Oromia
Shabelle,ETH,Oromia
Sanaga,CAM,Centre
Ntem,G,Gabon
Komo,GQ,Continental
Ogooué,RCB,Lékoumou
Congo,CGO,Tshopo
Sanga,RCA,Central African Republic
Kadei,CAM,Est
Mambere,RCA,Central African Republic
Ubangi,RCA,Central African Republic
Ubangi,CGO,Nord-Ubangi
Mbomou,RCA,Central African Republic
Mbomou,CGO,Haut-Uele
Uelle,CGO,Ituri
Fimi,CGO,Mai-Ndombe
Lukenie,CGO,Sankuru
Kasai,ANG,Moxico
Cuango,ANG,Malanje
Cuango,ANG,Lunda-Sul
Cuilo,ANG,Lunda-Sul
Lulua,CGO,Kasai
Tshuapa,CGO,Sankuru
Lomami,CGO,Haut-Lomami
Aruwimi,CGO,Ituri
Lualaba,CGO,Lualaba
Lukuga,CGO,Tanganyika
Ruzizi,CGO,Sud-Kivu
Ruzizi,RWA,Rwanda
Malagarasi,EAT,Kigoma
Luvua,CGO,Haut-Katanga
Luapula,Z,Luapula
Chambeshi,Z,Northern
Rufiji,EAT,Njombe
Zambezi,Z,North-Western
Cuando,ANG,Moxico
Kafue,Z,North-Western
Luangwa,Z,Muchinga
Shire,MW,Malawi
Cuanza,ANG,Bié
Cunene,ANG,Huambo
Okavango,ANG,Bié
Cuito,ANG,Moxico
Limpopo,RSA,Gauteng
Oranje,LS,Lesotho
Vaal,RSA,Mpumalanga
Mangoky,RM,Madagascar
Murchison River,AUS,Western Australia
Roper River,AUS,Northern Territory
Georgina River,AUS,Northern Territory
Murray River,AUS,Victoria
Darling River,AUS,New South Wales
Barwon River,AUS,Queensland
Macintyre River,AUS,New South Wales
Weir River,AUS,Queensland
Culgoa River,AUS,Queensland
Murrumbidgee River,AUS,New South Wales
Lachlan River,AUS,New South Wales
Molonglo River,AUS,New South Wales
Eucumbene River,AUS,New South Wales
Snowy River,AUS,New South Wales
Waikato River,NZ,New Zealand
Whangaehu River,NZ,New Zealand
Clutha River,NZ,New Zealand
