river,country,province
Tigris,IRQ,Salah al-Deen
Tigris,IRQ,Kirkuk
Tigris,IRQ,Wasit
Tigris,IRQ,Duhouk
Tigris,IRQ,Arbil
Euphrat,TR,Adıyaman
Euphrat,TR,Diyarbakır
Euphrat,TR,Elazığ
Euphrat,TR,Gaziantep
Euphrat,TR,Malatya
Euphrat,TR,Şanlıurfa
Euphrat,SYR,Al Qunaytirah
Euphrat,SYR,Ar Raqqah
Euphrat,SYR,Dayr az Zawr
Euphrat,IRQ,al-Anbar
Euphrat,IRQ,Babylon
Euphrat,IRQ,Basrah
Euphrat,IRQ,Thi Qar
Euphrat,IRQ,Kerbela
Euphrat,IRQ,al-Muthanna
Euphrat,IRQ,al-Najaf
Euphrat,IRQ,al-Qadisiya
Murat,TR,Ağrı
Murat,TR,Bingöl
Murat,TR,Elazığ
Murat,TR,Muş
Karasu,TR,Erzincan
Karasu,TR,Erzurum
Karasu,TR,Tunceli
Karun,IR,Kohgiluyeh and Boyer-Ahmad
Karun,IR,Chaharmahal and Bakhtiyari
Karun,IR,Esfahan
Karun,IR,Khuzestan
Sefid-Rud,IR,East Azarbayejan
Sefid-Rud,IR,Kurdestan
Sefid-Rud,IR,Sistan and Baluchestan
Sefid-Rud,IR,Zanjan
Sefid-Rud,IR,Ardebil
Sefid-Rud,IR,Qazvin
Atrek,IR,Khorasan-e-Razavi
Atrek,IR,Golestan
Atrek,IR,North Khorasan
Atrek,TM,Balkan
Helmand,IR,Sistan and Baluchestan
Helmand,AFG,Afghanistan
Northern Dwina,R,Arkhangelskaya
Northern Dwina,R,Vologodskaya
Suchona,R,Vologodskaya
Vychegda,R,Komi
Vychegda,R,Arkhangelskaya
Pechora,R,Komi
Pechora,R,Arkhangelskaya
Newa,R,Leningradskaya
Swir,R,Leningradskaya
Wyg,R,Karelia
Narva,EST,Estonia
Narva,R,Leningradskaya
Daugava,LV,Latvia
Daugava,BY,Vitebsk
Daugava,R,Smolenskaya
Dnister,UA,Cernivecka
Dnister,UA,Chmelnytska
Dnister,UA,Ivano-Frankivska
Dnister,UA,Lvivska
Dnister,UA,Odeska
Dnister,UA,Ternopilska
Dnister,UA,Vinnytska
Dnister,MD,Moldova
SouthernBug,UA,Chmelnytska
SouthernBug,UA,Kirovohradska
SouthernBug,UA,Mykolaïvska
SouthernBug,UA,Odeska
SouthernBug,UA,Vinnytska
Inhul,UA,Kirovohradska
Inhul,UA,Mykolaïvska
Dnepr,BY,Gomel
Dnepr,BY,Mahiljou
Dnepr,UA,Cerkaska
Dnepr,UA,Cernihivska
Dnepr,UA,Chersonska
Dnepr,UA,Dnipropetrovska
Dnepr,UA,Kyïvska
Dnepr,UA,Kirovohradska
Dnepr,UA,Poltavska
Dnepr,UA,Zaporizka
Dnepr,UA,Kyïv
Dnepr,R,Smolenskaya
Berezina,BY,Vitebsk
